,DirichletModel_MultimodalClassifier_dc
1583,3.6568928
1584,3.6568928
1585,3.6568928
1586,3.6568928
1587,3.690559
1588,3.6568928
1589,3.6568928
1590,3.6568928
1591,3.6568928
1592,3.6568928
1593,3.6568928
1594,3.6568928
1595,3.6568928
1596,3.6568928
1597,3.6568928
1598,3.6568928
1599,3.6568928
1600,3.6568928
1601,3.6568928
1602,3.6568928
1603,3.6568928
1604,3.6568928
1605,3.6568928
1606,3.6568928
1607,3.6568928
1608,3.6568928
1609,3.6568928
1610,3.6568928
1611,3.6568928
1612,3.6568928
1613,3.6568928
1614,3.6568928
1615,3.6568928
1616,3.6568928
1617,3.6568928
1618,3.6568928
1619,3.6568928
1620,3.6568928
1621,3.6568928
1622,3.6568928
1623,3.6568928
1624,3.6568928
1625,3.6568928
1626,3.6568928
1627,3.6568928
1628,3.6568928
1629,3.6568928
1630,3.6568928
1631,3.6568928
1632,3.6568928
1633,3.6568928
1634,3.6568928
1635,3.6568928
1636,3.6568928
1637,3.6568928
1638,3.6568928
1639,3.6568928
1640,3.6568928
1641,3.6568928
1642,3.6568928
1643,3.6568928
1644,3.6568928
1645,3.6568928
1646,3.6568928
1647,3.6568928
1648,3.6568928
1649,3.6568928
1650,3.6568928
